date,cpi
1970-07-01,32.5000000000000
1970-08-01,32.4000000000000
1970-09-01,32.9000000000000
1970-10-01,33.4000000000000
1970-11-01,33.4000000000000
1970-12-01,33.7000000000000
1971-01-01,34.0000000000000
1971-02-01,34.0000000000000
1971-03-01,34.0000000000000
1971-04-01,34.5000000000000
1971-05-01,34.6000000000000
1971-06-01,34.8000000000000
1971-07-01,34.7000000000000
1971-08-01,34.7000000000000
1971-09-01,35.5000000000000
1971-10-01,35.6000000000000
1971-11-01,35.3000000000000
1971-12-01,35.3000000000000
1972-01-01,35.4000000000000
1972-02-01,35.5000000000000
1972-03-01,35.8000000000000
1972-04-01,36.3000000000000
1972-05-01,36.3000000000000
1972-06-01,36.4000000000000
1972-07-01,36.4000000000000
1972-08-01,36.7000000000000
1972-09-01,36.9000000000000
1972-10-01,37.1000000000000
1972-11-01,37.1000000000000
1972-12-01,37.3000000000000
1973-01-01,37.7000000000000
1973-02-01,38.0000000000000
1973-03-01,38.9000000000000
1973-04-01,39.6000000000000
1973-05-01,40.3000000000000
1973-06-01,40.4000000000000
1973-07-01,40.7000000000000
1973-08-01,41.0000000000000
1973-09-01,42.2000000000000
1973-10-01,42.4000000000000
1973-11-01,42.7000000000000
1973-12-01,44.1000000000000
1974-01-01,46.0000000000000
1974-02-01,47.5000000000000
1974-03-01,47.7000000000000
1974-04-01,49.0000000000000
1974-05-01,49.2000000000000
1974-06-01,49.4000000000000
1974-07-01,50.4000000000000
1974-08-01,50.9000000000000
1974-09-01,51.6000000000000
1974-10-01,52.8000000000000
1974-11-01,53.2000000000000
1974-12-01,53.4000000000000
1975-01-01,54.0000000000000
1975-02-01,54.1000000000000
1975-03-01,54.6000000000000
1975-04-01,55.5000000000000
1975-05-01,55.8000000000000
1975-06-01,55.8000000000000
1975-07-01,56.0000000000000
1975-08-01,55.8000000000000
1975-09-01,57.0000000000000
1975-10-01,57.9000000000000
1975-11-01,57.7000000000000
1975-12-01,57.7000000000000
1976-01-01,58.7000000000000
1976-02-01,59.2000000000000
1976-03-01,59.3000000000000
1976-04-01,60.7000000000000
1976-05-01,61.0000000000000
1976-06-01,61.1000000000000
1976-07-01,61.5000000000000
1976-08-01,61.1000000000000
1976-09-01,62.6000000000000
1976-10-01,63.0000000000000
1976-11-01,63.0000000000000
1976-12-01,63.8000000000000
1977-01-01,64.3000000000000
1977-02-01,64.6000000000000
1977-03-01,65.0000000000000
1977-04-01,66.1000000000000
1977-05-01,66.7000000000000
1977-06-01,66.4000000000000
1977-07-01,66.2000000000000
1977-08-01,66.3000000000000
1977-09-01,67.4000000000000
1977-10-01,67.8000000000000
1977-11-01,67.1000000000000
1977-12-01,66.9000000000000
1978-01-01,67.2000000000000
1978-02-01,67.6000000000000
1978-03-01,68.2000000000000
1978-04-01,68.9000000000000
1978-05-01,69.3000000000000
1978-06-01,69.0000000000000
1978-07-01,69.2000000000000
1978-08-01,69.4000000000000
1978-09-01,70.1000000000000
1978-10-01,70.3000000000000
1978-11-01,69.6000000000000
1978-12-01,69.5000000000000
1979-01-01,69.6000000000000
1979-02-01,69.4000000000000
1979-03-01,70.0000000000000
1979-04-01,70.9000000000000
1979-05-01,71.5000000000000
1979-06-01,71.6000000000000
1979-07-01,72.2000000000000
1979-08-01,71.5000000000000
1979-09-01,72.4000000000000
1979-10-01,73.3000000000000
1979-11-01,73.0000000000000
1979-12-01,73.5000000000000
1980-01-01,74.2000000000000
1980-02-01,74.8000000000000
1980-03-01,75.2000000000000
1980-04-01,76.6000000000000
1980-05-01,77.2000000000000
1980-06-01,77.5000000000000
1980-07-01,77.6000000000000
1980-08-01,77.4000000000000
1980-09-01,78.7000000000000
1980-10-01,78.9000000000000
1980-11-01,79.1000000000000
1980-12-01,78.8000000000000
1981-01-01,79.6000000000000
1981-02-01,79.5000000000000
1981-03-01,79.8000000000000
1981-04-01,80.4000000000000
1981-05-01,81.1000000000000
1981-06-01,81.3000000000000
1981-07-01,81.0000000000000
1981-08-01,80.6000000000000
1981-09-01,81.9000000000000
1981-10-01,82.1000000000000
1981-11-01,82.1000000000000
1981-12-01,82.1000000000000
1982-01-01,82.1000000000000
1982-02-01,82.1000000000000
1982-03-01,82.1000000000000
1982-04-01,82.8000000000000
1982-05-01,83.1000000000000
1982-06-01,83.1000000000000
1982-07-01,82.6000000000000
1982-08-01,83.2000000000000
1982-09-01,84.4000000000000
1982-10-01,84.7000000000000
1982-11-01,83.9000000000000
1982-12-01,83.8000000000000
1983-01-01,83.9000000000000
1983-02-01,83.6000000000000
1983-03-01,84.1000000000000
1983-04-01,84.4000000000000
1983-05-01,85.3000000000000
1983-06-01,84.8000000000000
1983-07-01,84.4000000000000
1983-08-01,84.3000000000000
1983-09-01,85.2000000000000
1983-10-01,85.9000000000000
1983-11-01,85.5000000000000
1983-12-01,85.2000000000000
1984-01-01,85.5000000000000
1984-02-01,86.0000000000000
1984-03-01,86.2000000000000
1984-04-01,86.4000000000000
1984-05-01,87.0000000000000
1984-06-01,86.4000000000000
1984-07-01,86.6000000000000
1984-08-01,85.9000000000000
1984-09-01,87.2000000000000
1984-10-01,87.8000000000000
1984-11-01,87.4000000000000
1984-12-01,87.5000000000000
1985-01-01,87.8000000000000
1985-02-01,87.5000000000000
1985-03-01,87.8000000000000
1985-04-01,88.3000000000000
1985-05-01,88.5000000000000
1985-06-01,88.5000000000000
1985-07-01,88.7000000000000
1985-08-01,88.5000000000000
1985-09-01,88.6000000000000
1985-10-01,89.4000000000000
1985-11-01,88.7000000000000
1985-12-01,88.8000000000000
1986-01-01,89.1000000000000
1986-02-01,89.0000000000000
1986-03-01,89.0000000000000
1986-04-01,89.2000000000000
1986-05-01,89.5000000000000
1986-06-01,89.0000000000000
1986-07-01,88.8000000000000
1986-08-01,88.6000000000000
1986-09-01,89.0000000000000
1986-10-01,89.1000000000000
1986-11-01,88.7000000000000
1986-12-01,88.5000000000000
1987-01-01,88.2000000000000
1987-02-01,88.2000000000000
1987-03-01,88.5000000000000
1987-04-01,89.3000000000000
1987-05-01,89.5000000000000
1987-06-01,89.3000000000000
1987-07-01,88.9000000000000
1987-08-01,89.0000000000000
1987-09-01,89.8000000000000
1987-10-01,89.8000000000000
1987-11-01,89.3000000000000
1987-12-01,89.2000000000000
1988-01-01,89.0000000000000
1988-02-01,88.8000000000000
1988-03-01,89.1000000000000
1988-04-01,89.6000000000000
1988-05-01,89.7000000000000
1988-06-01,89.5000000000000
1988-07-01,89.3000000000000
1988-08-01,89.6000000000000
1988-09-01,90.3000000000000
1988-10-01,90.7000000000000
1988-11-01,90.4000000000000
1988-12-01,90.1000000000000
1989-01-01,89.9000000000000
1989-02-01,89.7000000000000
1989-03-01,90.1000000000000
1989-04-01,91.7000000000000
1989-05-01,92.2000000000000
1989-06-01,92.1000000000000
1989-07-01,92.0000000000000
1989-08-01,91.9000000000000
1989-09-01,92.7000000000000
1989-10-01,93.4000000000000
1989-11-01,92.4000000000000
1989-12-01,92.5000000000000
1990-01-01,92.9000000000000
1990-02-01,93.0000000000000
1990-03-01,93.4000000000000
1990-04-01,94.1000000000000
1990-05-01,94.6000000000000
1990-06-01,94.2000000000000
1990-07-01,94.1000000000000
1990-08-01,94.4000000000000
1990-09-01,95.2000000000000
1990-10-01,96.2000000000000
1990-11-01,96.0000000000000
1990-12-01,95.9000000000000
1991-01-01,96.6000000000000
1991-02-01,96.3000000000000
1991-03-01,96.8000000000000
1991-04-01,97.4000000000000
1991-05-01,97.8000000000000
1991-06-01,97.5000000000000
1991-07-01,97.4000000000000
1991-08-01,97.6000000000000
1991-09-01,97.7000000000000
1991-10-01,98.8000000000000
1991-11-01,99.0000000000000
1991-12-01,98.5000000000000
1992-01-01,98.3000000000000
1992-02-01,98.2000000000000
1992-03-01,98.7000000000000
1992-04-01,99.7000000000000
1992-05-01,99.8000000000000
1992-06-01,99.7000000000000
1992-07-01,99.0000000000000
1992-08-01,99.3000000000000
1992-09-01,99.7000000000000
1992-10-01,99.8000000000000
1992-11-01,99.6000000000000
1992-12-01,99.6000000000000
1993-01-01,99.5000000000000
1993-02-01,99.6000000000000
1993-03-01,99.9000000000000
1993-04-01,100.6000000000000
1993-05-01,100.7000000000000
1993-06-01,100.6000000000000
1993-07-01,100.9000000000000
1993-08-01,101.1000000000000
1993-09-01,101.2000000000000
1993-10-01,101.1000000000000
1993-11-01,100.6000000000000
1993-12-01,100.7000000000000
1994-01-01,100.8000000000000
1994-02-01,100.8000000000000
1994-03-01,101.2000000000000
1994-04-01,101.4000000000000
1994-05-01,101.5000000000000
1994-06-01,101.1000000000000
1994-07-01,100.7000000000000
1994-08-01,101.1000000000000
1994-09-01,101.4000000000000
1994-10-01,101.9000000000000
1994-11-01,101.6000000000000
1994-12-01,101.3000000000000
1995-01-01,101.3000000000000
1995-02-01,101.0000000000000
1995-03-01,100.9000000000000
1995-04-01,101.2000000000000
1995-05-01,101.4000000000000
1995-06-01,101.3000000000000
1995-07-01,100.8000000000000
1995-08-01,100.9000000000000
1995-09-01,101.5000000000000
1995-10-01,101.2000000000000
1995-11-01,100.9000000000000
1995-12-01,100.9000000000000
1996-01-01,100.8000000000000
1996-02-01,100.6000000000000
1996-03-01,100.8000000000000
1996-04-01,101.4000000000000
1996-05-01,101.6000000000000
1996-06-01,101.3000000000000
1996-07-01,101.2000000000000
1996-08-01,101.1000000000000
1996-09-01,101.5000000000000
1996-10-01,101.7000000000000
1996-11-01,101.4000000000000
1996-12-01,101.5000000000000
1997-01-01,101.4000000000000
1997-02-01,101.2000000000000
1997-03-01,101.3000000000000
1997-04-01,103.4000000000000
1997-05-01,103.6000000000000
1997-06-01,103.6000000000000
1997-07-01,103.2000000000000
1997-08-01,103.3000000000000
1997-09-01,104.0000000000000
1997-10-01,104.3000000000000
1997-11-01,103.6000000000000
1997-12-01,103.4000000000000
1998-01-01,103.3000000000000
1998-02-01,103.2000000000000
1998-03-01,103.6000000000000
1998-04-01,103.8000000000000
1998-05-01,104.1000000000000
1998-06-01,103.7000000000000
1998-07-01,103.1000000000000
1998-08-01,103.0000000000000
1998-09-01,103.8000000000000
1998-10-01,104.5000000000000
1998-11-01,104.4000000000000
1998-12-01,104.0000000000000
1999-01-01,103.5000000000000
1999-02-01,103.1000000000000
1999-03-01,103.2000000000000
1999-04-01,103.7000000000000
1999-05-01,103.7000000000000
1999-06-01,103.4000000000000
1999-07-01,103.0000000000000
1999-08-01,103.3000000000000
1999-09-01,103.6000000000000
1999-10-01,103.8000000000000
1999-11-01,103.2000000000000
1999-12-01,102.9000000000000
2000-01-01,102.8000000000000
2000-02-01,102.5000000000000
2000-03-01,102.7000000000000
2000-04-01,102.9000000000000
2000-05-01,103.0000000000000
2000-06-01,102.8000000000000
2000-07-01,102.5000000000000
2000-08-01,102.8000000000000
2000-09-01,102.7000000000000
2000-10-01,102.7000000000000
2000-11-01,102.4000000000000
2000-12-01,102.5000000000000
2001-01-01,102.5000000000000
2001-02-01,102.1000000000000
2001-03-01,101.9000000000000
2001-04-01,102.1000000000000
2001-05-01,102.2000000000000
2001-06-01,101.9000000000000
